"Match.Number","Round.Number","Date","Location","Home.Team","Away.Team","Group","Home.Score","Away.Score"
1,"1","20/11/2022 16:00","Al Bayt Stadium","Qatar","Ecuador","Group A","0","2"
3,"1","21/11/2022 13:00","Khalifa International Stadium","England","Iran","Group B","6","2"
2,"1","21/11/2022 16:00","Al Thumama Stadium","Senegal","Netherlands","Group A","0","2"
4,"1","21/11/2022 19:00","Ahmad Bin Ali Stadium","USA","Wales","Group B","1","1"
8,"1","22/11/2022 10:00","Lusail Stadium","Argentina","Saudi Arabia","Group C","1","2"
6,"1","22/11/2022 13:00","Education City Stadium","Denmark","Tunisia","Group D","0","0"
7,"1","22/11/2022 16:00","Stadium 974","Mexico","Poland","Group C","0","0"
5,"1","22/11/2022 19:00","Al Janoub Stadium","France","Australia","Group D","4","1"
12,"1","23/11/2022 10:00","Al Bayt Stadium","Morocco","Croatia","Group F","0","0"
11,"1","23/11/2022 13:00","Khalifa International Stadium","Germany","Japan","Group E","1","2"
10,"1","23/11/2022 16:00","Al Thumama Stadium","Spain","Costa Rica","Group E","7","0"
9,"1","23/11/2022 19:00","Ahmad Bin Ali Stadium","Belgium","Canada","Group F","1","0"
13,"1","24/11/2022 10:00","Al Janoub Stadium","Switzerland","Cameroon","Group G","1","0"
14,"1","24/11/2022 13:00","Education City Stadium","Uruguay","Korea Republic","Group H","0","0"
15,"1","24/11/2022 16:00","Stadium 974","Portugal","Ghana","Group H","3","2"
16,"1","24/11/2022 19:00","Lusail Stadium","Brazil","Serbia","Group G","2","0"
17,"2","25/11/2022 10:00","Ahmad Bin Ali Stadium","Wales","Iran","Group B","0","2"
18,"2","25/11/2022 13:00","Al Thumama Stadium","Qatar","Senegal","Group A",NA,NA
19,"2","25/11/2022 16:00","Khalifa International Stadium","Netherlands","Ecuador","Group A",NA,NA
20,"2","25/11/2022 19:00","Al Bayt Stadium","England","USA","Group B",NA,NA
21,"2","26/11/2022 10:00","Al Janoub Stadium","Tunisia","Australia","Group D",NA,NA
22,"2","26/11/2022 13:00","Education City Stadium","Poland","Saudi Arabia","Group C",NA,NA
23,"2","26/11/2022 16:00","Stadium 974","France","Denmark","Group D",NA,NA
24,"2","26/11/2022 19:00","Lusail Stadium","Argentina","Mexico","Group C",NA,NA
25,"2","27/11/2022 10:00","Ahmad Bin Ali Stadium","Japan","Costa Rica","Group E",NA,NA
26,"2","27/11/2022 13:00","Al Thumama Stadium","Belgium","Morocco","Group F",NA,NA
27,"2","27/11/2022 16:00","Khalifa International Stadium","Croatia","Canada","Group F",NA,NA
28,"2","27/11/2022 19:00","Al Bayt Stadium","Spain","Germany","Group E",NA,NA
29,"2","28/11/2022 10:00","Al Janoub Stadium","Cameroon","Serbia","Group G",NA,NA
30,"2","28/11/2022 13:00","Education City Stadium","Korea Republic","Ghana","Group H",NA,NA
31,"2","28/11/2022 16:00","Stadium 974","Brazil","Switzerland","Group G",NA,NA
32,"2","28/11/2022 19:00","Lusail Stadium","Portugal","Uruguay","Group H",NA,NA
35,"3","29/11/2022 15:00","Khalifa International Stadium","Ecuador","Senegal","Group A",NA,NA
36,"3","29/11/2022 15:00","Al Bayt Stadium","Netherlands","Qatar","Group A",NA,NA
33,"3","29/11/2022 19:00","Ahmad Bin Ali Stadium","Wales","England","Group B",NA,NA
34,"3","29/11/2022 19:00","Al Thumama Stadium","Iran","USA","Group B",NA,NA
37,"3","30/11/2022 15:00","Al Janoub Stadium","Australia","Denmark","Group D",NA,NA
38,"3","30/11/2022 15:00","Education City Stadium","Tunisia","France","Group D",NA,NA
39,"3","30/11/2022 19:00","Stadium 974","Poland","Argentina","Group C",NA,NA
40,"3","30/11/2022 19:00","Lusail Stadium","Saudi Arabia","Mexico","Group C",NA,NA
41,"3","01/12/2022 15:00","Ahmad Bin Ali Stadium","Croatia","Belgium","Group F",NA,NA
42,"3","01/12/2022 15:00","Al Thumama Stadium","Canada","Morocco","Group F",NA,NA
43,"3","01/12/2022 19:00","Khalifa International Stadium","Japan","Spain","Group E",NA,NA
44,"3","01/12/2022 19:00","Al Bayt Stadium","Costa Rica","Germany","Group E",NA,NA
45,"3","02/12/2022 15:00","Al Janoub Stadium","Ghana","Uruguay","Group H",NA,NA
46,"3","02/12/2022 15:00","Education City Stadium","Korea Republic","Portugal","Group H",NA,NA
47,"3","02/12/2022 19:00","Stadium 974","Serbia","Switzerland","Group G",NA,NA
48,"3","02/12/2022 19:00","Lusail Stadium","Cameroon","Brazil","Group G",NA,NA
49,"Round of 16","03/12/2022 15:00","TBA","1A","2B","",NA,NA
50,"Round of 16","03/12/2022 19:00","TBA","1C","2D","",NA,NA
52,"Round of 16","04/12/2022 15:00","TBA","1D","2C","",NA,NA
51,"Round of 16","04/12/2022 19:00","TBA","1B","2A","",NA,NA
53,"Round of 16","05/12/2022 15:00","TBA","1E","2F","",NA,NA
54,"Round of 16","05/12/2022 19:00","TBA","1G","2H","",NA,NA
55,"Round of 16","06/12/2022 15:00","TBA","1F","2E","",NA,NA
56,"Round of 16","06/12/2022 19:00","TBA","1H","2G","",NA,NA
58,"Quarter Finals","09/12/2022 15:00","TBA","To be announced","To be announced","",NA,NA
57,"Quarter Finals","09/12/2022 19:00","TBA","To be announced","To be announced","",NA,NA
60,"Quarter Finals","10/12/2022 15:00","TBA","To be announced","To be announced","",NA,NA
59,"Quarter Finals","10/12/2022 19:00","TBA","To be announced","To be announced","",NA,NA
61,"Semi Finals","13/12/2022 19:00","TBA","To be announced","To be announced","",NA,NA
62,"Semi Finals","14/12/2022 19:00","TBA","To be announced","To be announced","",NA,NA
63,"Finals","17/12/2022 15:00","TBA","To be announced","To be announced","",NA,NA
64,"Finals","18/12/2022 15:00","TBA","To be announced","To be announced","",NA,NA
